channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
885,0,19.180363,single_cross,-3.7050377,8.0040635
886,0,21.646682,single_cross,-3.2929783,7.5558869
887,0,18.822967,single_cross,-2.9384643,7.568388
888,0,18.228397,single_cross,-3.9334819,7.9340287
889,0,17.803224,single_cross,-2.4512835,5.8294122
890,0,18.332717,single_cross,-2.5500157,6.585636
891,0,20.121645,single_cross,-4.1096233,7.0801417
892,0,19.553201,single_cross,-4.4539744,8.5379174
893,0,22.855735,single_cross,-11.133254,10.961684
894,0,18.883754,single_cross,-5.9043303,10.953856
895,0,17.706228,single_cross,-2.5423024,7.51812
896,0,20.443835,single_cross,-4.6399529,9.1181022
897,0,19.522957,single_cross,-3.6638387,8.1455744
898,0,21.830089,single_cross,-5.9650862,10.84332
899,0,22.287429,single_cross,-6.5646132,9.8488964
900,0,18.881948,single_cross,-4.3642055,9.8223871
901,0,19.632568,single_cross,-3.783999,8.2324618
902,0,20.899457,single_cross,-2.6976713,7.2194057
903,0,17.035749,single_cross,-3.0630483,6.9291767
904,0,19.285476,single_cross,-4.2296718,8.3040997
905,0,16.942999,single_cross,-2.5793726,6.0414439
906,0,22.878403,single_cross,-5.7670565,8.541308
907,0,19.075577,single_cross,-2.8719042,7.4273705
908,0,17.97435,single_cross,-2.662064,6.6605215
909,0,17.842092,single_cross,-3.159918,6.9815323
910,0,17.699259,single_cross,-3.1935605,7.2134986
911,0,16.770537,single_cross,-2.5046544,6.1253461
912,0,17.210098,single_cross,-3.8545434,7.4214345
913,0,20.72698,single_cross,-9.3778833,11.63782
914,0,18.179379,single_cross,-3.8410332,8.5351578
915,0,19.509644,single_cross,-3.9478106,8.0398823
916,0,21.025596,single_cross,-5.7509859,9.1113261
917,0,21.038509,single_cross,-5.2719512,9.1450884
918,0,17.765496,single_cross,-2.2092396,5.4798422
919,0,23.22835,single_cross,-3.6166506,8.0304731
920,0,20.178517,single_cross,-5.2008337,10.444341
921,0,22.353255,single_cross,-6.5296789,9.2752603
922,0,20.234983,single_cross,-5.2928533,9.7734907
923,0,17.464681,single_cross,-2.9270747,8.1296927
924,0,19.852104,single_cross,-8.3778139,10.825605
925,0,18.716326,single_cross,-2.8439863,6.8148491
926,0,21.195454,single_cross,-5.0508008,8.8332957
927,0,19.456599,single_cross,-3.0133304,5.6450413
928,0,20.006384,single_cross,-4.6184762,8.3818389
929,0,17.871115,single_cross,-2.4522422,8.0532444
930,0,19.218143,single_cross,-2.3994019,6.1976637
931,0,20.021515,single_cross,-5.034345,8.6620903
932,0,18.08701,single_cross,-3.5105567,7.5729499
933,0,25.506732,single_cross,-7.2674733,8.4936574
934,0,19.438916,single_cross,-3.507323,7.9977306
935,0,20.880862,single_cross,-4.6296197,9.6348658
936,0,17.345703,single_cross,-1.8787575,5.2698855
937,0,19.583363,single_cross,-3.39112,7.7283709
938,0,18.380451,single_cross,-2.4286113,5.926685
939,0,18.047495,single_cross,-3.6854206,7.2650159
940,0,17.719705,single_cross,-2.3919489,4.9391477
941,0,24.598011,single_cross,-7.1939556,11.68794
942,0,19.742275,single_cross,-3.4533906,7.9136948
943,0,22.339798,single_cross,-5.0242848,10.027183
944,0,18.908498,single_cross,-3.1362105,8.8744722
945,0,16.998973,single_cross,-3.5091526,7.711956
946,0,20.55021,single_cross,-5.3921723,9.6053596
947,0,18.285381,single_cross,-3.9434643,10.296772
948,0,17.331943,single_cross,-3.4172429,8.4357693
949,0,19.902176,single_cross,-4.1986742,9.1962475
950,0,23.430766,single_cross,-7.6114111,10.979747
951,0,21.393267,single_cross,-6.6265991,9.3367592
952,0,19.496074,single_cross,-2.7434801,6.5266151
953,0,17.053731,single_cross,-1.9257592,4.9981455
954,0,19.828844,single_cross,-4.1931401,7.3909788
955,0,18.754149,single_cross,-2.9832004,7.4523982
956,0,19.13378,single_cross,-3.3995998,7.6602312
957,0,24.044773,single_cross,-6.6857462,10.782616
958,0,23.290892,single_cross,-6.3253903,11.406987
959,0,20.694869,single_cross,-4.133067,9.3390025
960,0,18.124872,single_cross,-3.7796668,7.9236438
961,0,23.55025,single_cross,-7.6374031,10.119221
962,0,22.48389,single_cross,-2.2900438,5.6167261
963,0,21.317443,single_cross,-3.9876214,7.9435817
964,0,19.556099,single_cross,-5.0896265,10.101138
965,0,18.059744,single_cross,-2.8818019,7.0120513
966,0,22.021877,single_cross,-3.1711981,7.9718798
967,0,22.624205,single_cross,-11.068025,11.560979
968,0,22.646915,single_cross,-3.1327368,7.1785423
969,0,20.939177,single_cross,-3.1990997,7.1140394
970,0,18.105067,single_cross,-3.0289493,6.6482261
971,0,21.12015,single_cross,-4.2093955,7.4503993
972,0,21.175545,single_cross,-4.5670546,8.4808095
973,0,22.07407,single_cross,-5.0593467,8.8614582
974,0,21.521947,single_cross,-3.3208705,7.9161827
975,0,19.188678,single_cross,-3.6678969,6.9153752
976,0,18.927922,single_cross,-3.3149027,7.5156466
977,0,20.932399,single_cross,-5.6561307,10.136467
978,0,24.827753,single_cross,-5.2983623,8.4138229
979,0,20.429567,single_cross,-5.8891835,10.114678
980,0,18.279573,single_cross,-5.9924871,9.068449
981,0,18.926392,single_cross,-6.0793166,9.9771191
982,0,20.779526,single_cross,-3.7659755,7.1302899
983,0,19.187736,single_cross,-2.7747979,6.754869
984,0,18.793182,single_cross,-2.8776365,7.331839
985,0,20.127221,single_cross,-7.3457546,8.9852502
986,0,21.13392,single_cross,-3.5074414,7.8791869
987,0,18.503157,single_cross,-6.2690166,11.04651
988,0,19.459754,single_cross,-4.9612631,8.5351234
989,0,21.153251,single_cross,-10.130861,10.564413
990,0,23.371743,single_cross,-4.1288217,7.6456467
991,0,18.579965,single_cross,-4.5959669,8.3344755
992,0,22.321627,single_cross,-6.0602586,10.276243
993,0,24.14004,single_cross,-3.7184424,8.4462724
994,0,19.564206,single_cross,-6.1206391,11.332461
995,0,19.423202,single_cross,-5.0075721,9.0450232
996,0,24.009578,single_cross,-13.730553,11.537468
997,0,20.572621,single_cross,-5.9899759,10.296699
998,0,19.63125,single_cross,-3.0993234,6.2230429
999,0,19.696248,single_cross,-4.7061583,8.4796226
1000,1,16.617069,single_cross,-2.8745942,7.0749174
1001,1,19.415132,single_cross,-2.3043681,4.6487549
1002,1,18.693914,single_cross,-1.7875308,3.6270215
1003,1,16.872984,single_cross,-2.2239173,6.0750913
1004,1,18.466906,single_cross,-1.9669973,5.2789007
1005,1,16.980262,single_cross,-2.5881545,5.4465241
1006,1,19.284384,single_cross,-1.9702039,5.2550031
1007,1,19.632188,single_cross,-2.3798343,6.2778662
1008,1,18.246935,single_cross,-1.8110875,3.2610893
1009,1,16.832375,single_cross,-1.5840226,4.8980019
1010,1,20.851541,single_cross,-2.7584221,6.6592613
1011,1,21.030058,single_cross,-0.92246839,3.7316222
1012,1,18.63635,single_cross,-1.5437117,3.3856712
1013,1,21.582836,single_cross,-2.9147578,7.4332045
1014,1,22.133557,single_cross,-3.6578831,8.5147973
1015,1,16.121886,single_cross,-1.6147856,3.9870706
1016,1,16.917195,single_cross,-2.789176,7.1843393
1017,1,14.646389,single_cross,-1.1675951,3.2237188
1018,1,16.732534,single_cross,-2.5415599,6.5685201
1019,1,18.127486,single_cross,-2.2332441,6.1529595
1020,1,15.46625,single_cross,-1.9497742,5.4374556
1021,1,17.929231,single_cross,-1.9763269,4.9941477
1022,1,18.079726,single_cross,-1.3052821,3.0176407
1023,1,20.256752,single_cross,-3.1139696,6.3401292
1024,1,16.6758,single_cross,-2.1323097,6.6421398
1025,1,17.18369,single_cross,-1.8429804,5.0960321
1026,1,16.387409,single_cross,-2.3952357,5.4315138
