channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
15,0,18,26.625828,27.462134,0.83630625
15,0,19,28.371603,30.532583,2.1609795
15,0,20,30.135112,33.945957,3.8108443
15,0,21,31.873269,37.164145,5.2908761
15,0,22,33.526308,40.151083,6.6247747
15,0,23,35.040158,42.687036,7.6468777
15,0,24,36.366069,44.76004,8.3939709
15,0,25,37.518511,46.289033,8.7705213
15,0,26,38.604275,47.259007,8.6547322
15,0,27,39.711427,47.746611,8.0351833
15,0,28,40.867214,47.953296,7.086082
15,0,29,42.060821,47.996301,5.9354798
15,0,30,43.262664,47.999893,4.7372287
16,0,0,1.4645071,0.24206048,-1.2224466
16,0,1,1.9936719,0.57251717,-1.4211547
16,0,2,2.6262146,0.99972616,-1.6264884
16,0,3,3.3972195,1.4305596,-1.9666599
16,0,4,4.3169109,2.7160027,-1.6009083
16,0,5,5.4036158,3.6088797,-1.7947361
16,0,6,6.6751976,4.6393991,-2.0357986
16,0,7,8.1405373,6.040672,-2.0998653
16,0,8,9.7588573,7.6587152,-2.1001421
16,0,9,11.515546,9.1500238,-2.3655218
16,0,10,13.412751,11.039922,-2.372829
16,0,11,15.446238,12.784506,-2.6617312
16,0,12,17.593497,14.712467,-2.8810303
16,0,13,19.827656,16.907912,-2.9197435
16,0,14,22.123117,19.204818,-2.918299
16,0,15,24.436705,21.974431,-2.4622737
16,0,16,26.732002,25.041043,-1.6909594
16,0,17,28.987222,28.614016,-0.3732059
16,0,18,31.149975,32.199017,1.0490419
16,0,19,33.141436,35.85011,2.7086749
16,0,20,34.92439,39.294518,4.3701278
16,0,21,36.519135,42.265968,5.7468332
16,0,22,37.951018,44.629751,6.6787333
16,0,23,39.231781,46.294387,7.0626056
16,0,24,40.393258,47.310684,6.9174259
16,0,25,41.470848,47.799209,6.3283615
16,0,26,42.506869,47.97899,5.4721203
16,0,27,43.510324,47.999296,4.4889713
16,0,28,44.443569,47.999993,3.5564235
16,0,29,45.316655,48,2.6833449
16,0,30,46.111444,48,1.8885555
17,0,0,1.1894716,0.19923572,-0.99023588
17,0,1,1.6511889,0.40727463,-1.2439142
17,0,2,2.2393209,0.73867142,-1.5006495
17,0,3,2.9442733,1.2888885,-1.6553848
17,0,4,3.7674763,1.9242649,-1.8432115
17,0,5,4.7167191,2.7243642,-1.9923549
17,0,6,5.8140112,3.595815,-2.2181962
17,0,7,7.0536939,5.0202612,-2.0334327
17,0,8,8.423072,6.0731479,-2.3499241
17,0,9,9.9021403,7.5627232,-2.3394171
17,0,10,11.527659,8.995317,-2.532342
17,0,11,13.314637,10.49179,-2.8228468
17,0,12,15.274362,12.142297,-3.1320651
17,0,13,17.377379,14.063848,-3.3135311
17,0,14,19.577427,16.092177,-3.4852506
17,0,15,21.810733,18.44633,-3.364403
17,0,16,24.007643,21.189355,-2.818288
17,0,17,26.137875,24.177668,-1.9602067
17,0,18,28.171294,27.342352,-0.82894291
17,0,19,30.108362,30.948057,0.83969505
17,0,20,31.940883,34.643748,2.7028656
17,0,21,33.696403,38.17488,4.478477
17,0,22,35.380252,41.332521,5.9522689
17,0,23,36.953717,43.794778,6.8410613
17,0,24,38.397389,45.641033,7.243644
17,0,25,39.691031,46.858741,7.1677107
17,0,26,40.831523,47.57138,6.7398568
17,0,27,41.838415,47.8971,6.0586851
17,0,28,42.756315,47.989225,5.2329107
17,0,29,43.616278,47.99959,4.3833121
17,0,30,44.417134,47.999995,3.5828609
18,0,0,1.0681963,0.13393431,-0.93426197
18,0,1,1.5283038,0.24564339,-1.2826604
18,0,2,2.0741338,0.40793069,-1.6662031
18,0,3,2.7352865,0.67739275,-2.0578938
18,0,4,3.4978687,1.1740484,-2.3238204
18,0,5,4.3803004,1.8948158,-2.4854847
18,0,6,5.3970552,2.9577183,-2.4393369
18,0,7,6.563237,4.1357736,-2.4274634
18,0,8,7.8929219,5.5214354,-2.3714865
18,0,9,9.3822904,6.9326059,-2.4496845
18,0,10,11.04478,8.4835885,-2.5611918
18,0,11,12.887406,10.065164,-2.822242
